Unnamed: 0,optA,value,slr,L,s1,lon,lat
Maldives9748,fullRetreat,1212.26916619,0.48218,1.537,1.0,72.984,2.193
Maldives9750,fullRetreat,1400.60178501,0.48218,2.097,0.9990000000000001,73.018,2.176
Maldives9752,fullRetreat,1419.783811,0.48218,1.443,1.003,73.024,2.176
Maldives9753,fullRetreat,0.0,0.48218,3.4219999999999997,1.003,73.032,2.174
Maldives9754,fullRetreat,1212.26916619,0.48218,2.238,0.998,73.043,2.174
Maldives9755,fullRetreat,1400.60178501,0.48218,2.167,0.998,73.059,2.173
Maldives9756,fullRetreat,0.0,0.48218,0.902,0.997,73.068,2.17
Maldives9757,noAdaptation,2579.42447315,0.48218,3.25,0.997,73.074,2.175
Maldives9758,noAdaptation,2582.91211424,0.48218,3.1660000000000004,0.9990000000000001,73.08800000000001,2.181
Maldives9760,fullRetreat,6598.93082844,0.48218,3.438,1.932,73.09899999999999,2.1919999999999997
Maldives9762,noAdaptation,2602.09414023,0.48218,4.716,1.01,73.11399999999999,2.204
Maldives9765,fullRetreat,1311.66693723,0.48218,2.16,1.038,73.133,2.205
Maldives9766,fullRetreat,1477.32988897,0.48218,2.161,1.014,73.15,2.2119999999999997
Maldives9767,fullRetreat,2602.25108408,0.48218,2.1590000000000003,0.996,73.308,2.505
Maldives9769,noAdaptation,2572.44919097,0.48218,1.3969999999999998,0.993,73.313,2.496
Maldives9771,fullRetreat,1902.82210185,0.48218,1.082,1.121,73.316,2.49
Maldives9776,fullRetreat,1695.30745704,0.48218,1.3969999999999998,1.064,73.344,2.35
Maldives9777,fullRetreat,12279.0949266,0.48218,12.956,1.016,73.35300000000001,2.438
Maldives9778,fullRetreat,1955.13671819,0.48218,2.5,1.1340000000000001,73.35600000000001,2.362
Maldives9779,noAdaptation,2809.60878504,0.48218,2.8710000000000004,1.129,73.36399999999999,2.3680000000000003
Maldives9785,noAdaptation,2575.93683206,0.48218,3.5839999999999996,0.995,73.258,1.88
Maldives9786,fullRetreat,0.0,0.48218,0.903,0.995,73.271,1.848
Maldives9787,fullRetreat,0.0,0.48218,1.321,0.9940000000000001,73.274,1.8430000000000002
Maldives9789,fullRetreat,1412.80852882,0.48218,0.948,0.995,73.273,1.838
Maldives9790,fullRetreat,1412.80852882,0.48218,1.0759999999999998,0.995,73.275,1.8359999999999999
Maldives9791,fullRetreat,1412.80852882,0.48218,1.204,0.9940000000000001,73.289,1.8259999999999998
Maldives9792,fullRetreat,1416.29616991,0.48218,1.3980000000000001,0.995,73.288,1.821
Maldives9793,noAdaptation,2579.42447315,0.48218,1.075,0.997,73.29,1.815
Maldives9794,fullRetreat,1423.27145209,0.48218,1.08,0.997,73.293,1.821
Maldives9795,fullRetreat,1423.27145209,0.48218,1.2919999999999998,0.997,73.294,1.8119999999999998
Maldives9796,fullRetreat,1433.73437535,0.48218,1.3519999999999999,1.0,73.296,1.818
Maldives9797,fullRetreat,1224.4759099999999,0.48218,1.084,0.995,73.30199999999999,1.8030000000000002
Maldives9798,fullRetreat,1419.783811,0.48218,0.9540000000000001,0.995,73.304,1.8019999999999998
Maldives9799,fullRetreat,1217.50062782,0.48218,4.422,0.993,73.307,1.796
Maldives9800,fullRetreat,0.0,0.48218,0.9009999999999999,0.991,73.33,1.784
Maldives9801,fullRetreat,1407.57706719,0.48218,0.903,0.991,73.337,1.781
Maldives9802,fullRetreat,1407.57706719,0.48218,0.8109999999999999,0.991,73.34100000000001,1.778
